dst	strategy
0269.frag	none
0270.frag	none
0271.frag	none
0272.frag	none
0273.frag	none
0274.frag	none
0275.frag	none
0276.frag	none
0277.frag	none
0278.frag	none
0279.frag	none
0280.frag	none
0281.frag	none
0282.frag	none
0283.frag	none
0284.frag	none
0285.frag	none
0286.frag	none
0287.frag	none
0288.frag	none
0289.frag	none
0290.frag	none
0291.frag	none
0292.frag	none
0293.frag	none
0294.frag	none
0295.frag	none
0296.frag	none
0297.frag	none
0298.frag	none
0299.frag	none
0300.frag	none
0301.frag	none
0302.frag	none
0303.frag	none
0304.frag	none
0305.frag	none
0306.frag	none
0307.frag	none
0308.frag	none
0309.frag	none
0310.frag	none
0311.frag	none
0312.frag	none
0313.frag	none
0314.frag	none
0315.frag	none
0316.frag	none
0317.frag	none
0318.frag	none
0319.frag	none
0320.frag	none
0321.frag	none
0322.frag	none
0323.frag	none
0324.frag	none
0325.frag	none
0326.frag	none
0327.frag	none
0328.frag	none
0329.frag	none
0330.frag	none
0331.frag	none
0332.frag	none
0333.frag	none
0334.frag	none
0335.frag	none
0336.frag	none
0337.frag	none
0338.frag	none
0339.frag	none
0340.frag	none
0341.frag	none
0342.frag	none
0343.frag	none
0344.frag	none
0345.frag	none
0346.frag	none
0347.frag	none
0348.frag	none
0349.frag	none
0350.frag	zoomex
0351.frag	zoomex2
0352.frag	none
0353.frag	zoom
0354.frag	none
0355.frag	none
0356.frag	none
0357.frag	none
0358.frag	rotzoom
0359.frag	none
0360.frag	none
0361.frag	zoom
0362.frag	zoomex
0363.frag	none
0364.frag	none
0365.frag	rotzoomex2
0366.frag	zoomex2
0367.frag	none
0368.frag	zoom
0369.frag	none
0370.frag	none
0371.frag	none
0372.frag	zoomex
0373.frag	none
0374.frag	zoomex2
0375.frag	rotzoomex2
0376.frag	none
0377.frag	zoomex2
0378.frag	zoomex2
0379.frag	none
0380.frag	none
0381.frag	none
0382.frag	none
0383.frag	zoomex
0384.frag	none
0385.frag	zoomex
0386.frag	zoomex2
0387.frag	none
0388.frag	none
0389.frag	none
0390.frag	zoomex
0391.frag	none
0392.frag	zoomex
0393.frag	none
0394.frag	zoomex2
0395.frag	rotzoomex2
0396.frag	none
0397.frag	zoomex
0398.frag	none
0399.frag	none
0400.frag	rot
0401.frag	none
0402.frag	none
0403.frag	none
0404.frag	none
0405.frag	none
0406.frag	none
0407.frag	none
0408.frag	none
0409.frag	none
0410.frag	none
0411.frag	none
0412.frag	none
0413.frag	none
0414.frag	none
0415.frag	none
0416.frag	none
0417.frag	none
0418.frag	none
0419.frag	rot
0420.frag	none
0421.frag	none
0422.frag	none
0423.frag	none
0424.frag	none
0425.frag	none
0426.frag	none
0427.frag	none
0428.frag	none
0429.frag	none
0430.frag	none
0431.frag	none
0432.frag	none
0433.frag	none
0434.frag	none
0435.frag	none
0436.frag	none
0437.frag	none
0438.frag	none
0439.frag	none
0440.frag	none
0441.frag	none
0442.frag	none
0443.frag	none
0444.frag	none
0445.frag	none
0446.frag	none
0447.frag	none
0448.frag	none
0449.frag	none
0450.frag	none
0451.frag	none
0452.frag	none
0453.frag	none
0454.frag	none
0455.frag	none
0456.frag	none
0457.frag	none
0458.frag	none
0459.frag	none
0460.frag	none
0461.frag	none
0462.frag	none
0463.frag	none
0464.frag	none
0465.frag	none
0466.frag	none
0467.frag	none
0468.frag	none
0469.frag	none
0470.frag	none
0471.frag	none
0472.frag	none
0473.frag	none
0474.frag	none
0475.frag	none
0476.frag	none
0477.frag	none
0478.frag	none
0479.frag	none
0480.frag	none
0481.frag	none
0482.frag	none
0483.frag	none
0484.frag	none
0485.frag	none
0486.frag	none
0487.frag	none
0488.frag	none
0489.frag	none
0490.frag	none
0491.frag	none
0492.frag	none
0493.frag	none
0494.frag	none
0495.frag	none
0496.frag	none
0497.frag	none
0498.frag	none
0499.frag	none
0500.frag	none
0501.frag	none
0502.frag	none
0503.frag	none
0504.frag	none
0505.frag	none
0506.frag	none
0507.frag	none
0508.frag	none
0509.frag	none
0510.frag	none
0511.frag	none
0512.frag	none
0513.frag	none
0514.frag	none
0515.frag	none
0516.frag	none
0517.frag	none
0518.frag	none
0519.frag	none
0520.frag	none
0521.frag	none
0522.frag	none
0523.frag	none
0524.frag	none
0525.frag	none
0526.frag	none
0527.frag	none
0528.frag	none
0529.frag	none
0530.frag	none
0531.frag	none
0532.frag	none
0533.frag	none
0534.frag	none
0535.frag	none
0536.frag	none
0537.frag	none
0538.frag	none
0539.frag	none
0540.frag	none
0541.frag	none
0542.frag	none
0543.frag	none
0544.frag	none
0545.frag	none
0546.frag	none
0547.frag	none
0548.frag	none
0549.frag	none
0550.frag	none
0551.frag	none
0552.frag	none
0553.frag	none
0554.frag	none
0555.frag	none
0556.frag	none
0557.frag	none
0558.frag	none
0559.frag	none
0560.frag	none
0561.frag	none
0562.frag	none
0563.frag	none
0564.frag	none
0565.frag	none
0566.frag	none
0567.frag	none
0568.frag	none
0569.frag	none
0570.frag	none
0571.frag	none
0572.frag	none
0573.frag	none
0574.frag	none
0575.frag	none
0576.frag	none
0577.frag	none
0578.frag	none
0579.frag	none
0580.frag	none
0581.frag	none
0582.frag	none
0583.frag	none
0584.frag	none
0585.frag	none
0586.frag	none
0587.frag	none
0588.frag	none
0589.frag	none
0590.frag	none
0591.frag	none
0592.frag	none
0593.frag	none
0594.frag	none
0595.frag	none
0596.frag	none
0597.frag	none
0598.frag	none
0599.frag	none
0600.frag	none
0601.frag	none
0602.frag	none
0603.frag	none
0604.frag	none
0605.frag	none
0606.frag	none
0607.frag	none
0608.frag	none
0609.frag	none
0610.frag	none
0611.frag	none
0612.frag	none
0613.frag	none
0614.frag	none
0615.frag	none
0616.frag	none
0617.frag	none
0618.frag	none
0619.frag	none
0620.frag	none
0621.frag	none
0622.frag	none
0623.frag	none
